"Species","Master_Species","Master_Common_Name","Lifeform","Duration","Nativity"
"ACHY","Achnatherum hymenoides","Indian ricegrass","Graminoid","Perennial","Native"
"ARFI2","Artemisia filifolia","Sand sagebrush","Shrub","Perennial","Native"
"ATCA2","Atriplex canescens","Four-wing saltbush","Shrub","Perennial","Native"
"BRTE","Bromus tectorum","Cheatgrass","Graminoid","Annual","NonNative"
"CRCR3","Cryptantha crassiselapa","Thick-sepaled cryptanth","Forb","Annual","Native"
"ERTR13","Eremopyrum triticeum","Annual wheatgrass","Graminoid","Annual","NonNative"
"KRLA","Krascheninnikovia lanata","Winterfat","Shrub","Perennial","Native"
"LAOC","Lappula occidentalis","Western stickseed","Forb","Annual","Native"
"MAAF","Malcolmia africana","African mustard","Forb","Annual","NonNative"
"MACA","Machaeranthera canescens","Hoary aster","Forb","Perennial","Native"
"OEPA","Oenothera pallida","Pale evening-primrose","Forb","Perennial","Native"
"PHCR","Phacelia crenulata","Crenulate phacelia","Forb","Annual","Native"
"PLJA","Pleuraphis jamesii","Galleta","Graminoid","Perennial","Native"
"PLPA2","Plantago patagonica","Woolly plantain","Forb","Annual","Native"
"SATR12","Salsola tragus","Russian-thistle","Forb","Annual","NonNative"
"SPCR","Sporobolus cryptandrus","Sand dropseed","Graminoid","Perennial","Native"
"SPPA2","Sphaeralcea parvifolia","Small-leaf globemallow","Forb","Perennial","Native"
"VUOC","Vulpia octoflora","Six-weeks fescue","Graminoid","Annual","Native"
"CORA","Coleogyne ramosissima","Blackbrush","Shrub","Perennial","Native"
"EPVI","Ephedra viridis","Green ephedra","Shrub","Perennial","Native"
"JUOS","Juniperus osteosperma","Utah juniper","Tree","Perennial","Native"
"OPUNT","Opuntia sp.","Pricklypear (sp).","DwarfShrub","Perennial","Native"
"QUHA3","Quercus havardii","Havard oak","Shrub","Perennial","Native"
"STIPA","Stipa sp.",NA,"Graminoid","Perennial","Native"
