"Plot_ID","Species","Scientific_Name","First_Yr_Cover","Last_Yr_Cover","Cover_Change","Trend"
25,"SATR12","Salsola tragus",23,0,-23,"Decrease"
106,"PLPA2","Plantago patagonica",17,1,-16,"Decrease"
113,"PLPA2","Plantago patagonica",14,0,-14,"Decrease"
91,"VUOC","Vulpia octoflora",17,5,-12,"Decrease"
92,"SATR12","Salsola tragus",16,4,-12,"Decrease"
26,"SATR12","Salsola tragus",10,0,-10,"Decrease"
101,"SATR12","Salsola tragus",0,10,10,"Increase"
58,"BRTE","Bromus tectorum",0,11,11,"Increase"
38,"BRTE","Bromus tectorum",4,18,14,"Increase"
43,"BRTE","Bromus tectorum",15,30,15,"Increase"
39,"BRTE","Bromus tectorum",1,17,16,"Increase"
92,"ERTR13","Eremopyrum triticeum",1,17,16,"Increase"
91,"BRTE","Bromus tectorum",6,23,17,"Increase"
50,"BRTE","Bromus tectorum",1,31,30,"Increase"
56,"BRTE","Bromus tectorum",2,33,31,"Increase"
